,country,year,iso_code,population,gdp,variable,value,energy_source,type,unit,source
2873,Antarctica,2014,ATA,,,biofuel_consumption,,biofuel,consumption,terawatt-hours,biofuel
2874,Antarctica,2015,ATA,,,biofuel_consumption,,biofuel,consumption,terawatt-hours,biofuel
2875,Antarctica,2016,ATA,,,biofuel_consumption,,biofuel,consumption,terawatt-hours,biofuel
2876,Antarctica,2017,ATA,,,biofuel_consumption,,biofuel,consumption,terawatt-hours,biofuel
2877,Antarctica,2018,ATA,,,biofuel_consumption,,biofuel,consumption,terawatt-hours,biofuel
2878,Antarctica,2019,ATA,,,biofuel_consumption,,biofuel,consumption,terawatt-hours,biofuel
2879,Antarctica,2020,ATA,,,biofuel_consumption,,biofuel,consumption,terawatt-hours,biofuel
2880,Antarctica,2021,ATA,,,biofuel_consumption,,biofuel,consumption,terawatt-hours,biofuel
2921,Asia,2013,,4365286895.0,,biofuel_consumption,83.325,biofuel,consumption,terawatt-hours,biofuel
2922,Asia,2014,,4412496398.0,,biofuel_consumption,92.611,biofuel,consumption,terawatt-hours,biofuel
2923,Asia,2015,,4458250376.0,,biofuel_consumption,77.75,biofuel,consumption,terawatt-hours,biofuel
2924,Asia,2016,,4502955714.0,,biofuel_consumption,103.413,biofuel,consumption,terawatt-hours,biofuel
2925,Asia,2017,,4547095064.0,,biofuel_consumption,98.026,biofuel,consumption,terawatt-hours,biofuel
2926,Asia,2018,,4588802751.0,,biofuel_consumption,128.228,biofuel,consumption,terawatt-hours,biofuel
2927,Asia,2019,,4627738749.0,,biofuel_consumption,162.833,biofuel,consumption,terawatt-hours,biofuel
2928,Asia,2020,,4663086623.0,,biofuel_consumption,172.452,biofuel,consumption,terawatt-hours,biofuel
2929,Asia,2021,,4693332132.0,,biofuel_consumption,186.625,biofuel,consumption,terawatt-hours,biofuel
2930,Asia,2022,,4721383370.0,,biofuel_consumption,206.948,biofuel,consumption,terawatt-hours,biofuel
3593,Europe,2013,,741180502.0,,biofuel_consumption,154.508,biofuel,consumption,terawatt-hours,biofuel
3594,Europe,2014,,742190861.0,,biofuel_consumption,165.394,biofuel,consumption,terawatt-hours,biofuel
3595,Europe,2015,,743294457.0,,biofuel_consumption,164.722,biofuel,consumption,terawatt-hours,biofuel
3596,Europe,2016,,744516175.0,,biofuel_consumption,167.535,biofuel,consumption,terawatt-hours,biofuel
3597,Europe,2017,,745657647.0,,biofuel_consumption,179.997,biofuel,consumption,terawatt-hours,biofuel
3598,Europe,2018,,746577709.0,,biofuel_consumption,200.457,biofuel,consumption,terawatt-hours,biofuel
3599,Europe,2019,,747418251.0,,biofuel_consumption,207.421,biofuel,consumption,terawatt-hours,biofuel
3600,Europe,2020,,747462669.0,,biofuel_consumption,216.176,biofuel,consumption,terawatt-hours,biofuel
3601,Europe,2021,,746417727.0,,biofuel_consumption,223.817,biofuel,consumption,terawatt-hours,biofuel
3602,Europe,2022,,744806995.0,,biofuel_consumption,237.34,biofuel,consumption,terawatt-hours,biofuel
4592,North America,2013,,560056144.0,,biofuel_consumption,381.34,biofuel,consumption,terawatt-hours,biofuel
4593,North America,2014,,565486685.0,,biofuel_consumption,387.709,biofuel,consumption,terawatt-hours,biofuel
4594,North America,2015,,570726015.0,,biofuel_consumption,403.14,biofuel,consumption,terawatt-hours,biofuel
4595,North America,2016,,576008328.0,,biofuel_consumption,434.619,biofuel,consumption,terawatt-hours,biofuel
4596,North America,2017,,581258143.0,,biofuel_consumption,439.128,biofuel,consumption,terawatt-hours,biofuel
4597,North America,2018,,585864285.0,,biofuel_consumption,434.73,biofuel,consumption,terawatt-hours,biofuel
4598,North America,2019,,590497015.0,,biofuel_consumption,446.457,biofuel,consumption,terawatt-hours,biofuel
4599,North America,2020,,594263186.0,,biofuel_consumption,407.34,biofuel,consumption,terawatt-hours,biofuel
4600,North America,2021,,597123384.0,,biofuel_consumption,445.814,biofuel,consumption,terawatt-hours,biofuel
4601,North America,2022,,600323657.0,,biofuel_consumption,472.702,biofuel,consumption,terawatt-hours,biofuel
4721,Oceania,2013,,39057783.0,,biofuel_consumption,2.947,biofuel,consumption,terawatt-hours,biofuel
4722,Oceania,2014,,39729340.0,,biofuel_consumption,3.034,biofuel,consumption,terawatt-hours,biofuel
4723,Oceania,2015,,40403644.0,,biofuel_consumption,2.418,biofuel,consumption,terawatt-hours,biofuel
4724,Oceania,2016,,41101240.0,,biofuel_consumption,1.89,biofuel,consumption,terawatt-hours,biofuel
4725,Oceania,2017,,41817267.0,,biofuel_consumption,1.86,biofuel,consumption,terawatt-hours,biofuel
4726,Oceania,2018,,42540030.0,,biofuel_consumption,1.689,biofuel,consumption,terawatt-hours,biofuel
4727,Oceania,2019,,43278474.0,,biofuel_consumption,1.561,biofuel,consumption,terawatt-hours,biofuel
4728,Oceania,2020,,43933757.0,,biofuel_consumption,1.288,biofuel,consumption,terawatt-hours,biofuel
4729,Oceania,2021,,44492065.0,,biofuel_consumption,1.306,biofuel,consumption,terawatt-hours,biofuel
4730,Oceania,2022,,45038860.0,,biofuel_consumption,1.398,biofuel,consumption,terawatt-hours,biofuel
5093,South America,2013,,405147963.0,,biofuel_consumption,197.917,biofuel,consumption,terawatt-hours,biofuel
5094,South America,2014,,409128901.0,,biofuel_consumption,217.018,biofuel,consumption,terawatt-hours,biofuel
5095,South America,2015,,413134461.0,,biofuel_consumption,251.324,biofuel,consumption,terawatt-hours,biofuel
5096,South America,2016,,417101806.0,,biofuel_consumption,232.875,biofuel,consumption,terawatt-hours,biofuel
5097,South America,2017,,420982650.0,,biofuel_consumption,239.84,biofuel,consumption,terawatt-hours,biofuel
5098,South America,2018,,424740741.0,,biofuel_consumption,273.453,biofuel,consumption,terawatt-hours,biofuel
5099,South America,2019,,428318218.0,,biofuel_consumption,300.133,biofuel,consumption,terawatt-hours,biofuel
5100,South America,2020,,431530105.0,,biofuel_consumption,271.861,biofuel,consumption,terawatt-hours,biofuel
5101,South America,2021,,434254167.0,,biofuel_consumption,272.099,biofuel,consumption,terawatt-hours,biofuel
5102,South America,2022,,436816679.0,,biofuel_consumption,273.737,biofuel,consumption,terawatt-hours,biofuel
5558,Africa,2013,,1140180888.0,,biofuel_elec_per_capita,2.675,biofuel,elec,kilowatt-hours,biofuel
5559,Africa,2014,,1170299297.0,,biofuel_elec_per_capita,2.521,biofuel,elec,kilowatt-hours,biofuel
5560,Africa,2015,,1201108186.0,,biofuel_elec_per_capita,2.614,biofuel,elec,kilowatt-hours,biofuel
5561,Africa,2016,,1232111820.0,,biofuel_elec_per_capita,2.792,biofuel,elec,kilowatt-hours,biofuel
5562,Africa,2017,,1263333997.0,,biofuel_elec_per_capita,2.802,biofuel,elec,kilowatt-hours,biofuel
5563,Africa,2018,,1295265310.0,,biofuel_elec_per_capita,2.625,biofuel,elec,kilowatt-hours,biofuel
5564,Africa,2019,,1327701380.0,,biofuel_elec_per_capita,2.598,biofuel,elec,kilowatt-hours,biofuel
5565,Africa,2020,,1360677453.0,,biofuel_elec_per_capita,2.087,biofuel,elec,kilowatt-hours,biofuel
5566,Africa,2021,,1393676724.0,,biofuel_elec_per_capita,2.052,biofuel,elec,kilowatt-hours,biofuel
5567,Africa,2022,,1426736614.0,,biofuel_elec_per_capita,1.963,biofuel,elec,kilowatt-hours,biofuel
5641,Antarctica,2013,ATA,,,biofuel_elec_per_capita,,biofuel,elec,kilowatt-hours,biofuel
5642,Antarctica,2014,ATA,,,biofuel_elec_per_capita,,biofuel,elec,kilowatt-hours,biofuel
5643,Antarctica,2015,ATA,,,biofuel_elec_per_capita,,biofuel,elec,kilowatt-hours,biofuel
5644,Antarctica,2016,ATA,,,biofuel_elec_per_capita,,biofuel,elec,kilowatt-hours,biofuel
5645,Antarctica,2017,ATA,,,biofuel_elec_per_capita,,biofuel,elec,kilowatt-hours,biofuel
5646,Antarctica,2018,ATA,,,biofuel_elec_per_capita,,biofuel,elec,kilowatt-hours,biofuel
5647,Antarctica,2019,ATA,,,biofuel_elec_per_capita,,biofuel,elec,kilowatt-hours,biofuel
5648,Antarctica,2020,ATA,,,biofuel_elec_per_capita,,biofuel,elec,kilowatt-hours,biofuel
5649,Antarctica,2021,ATA,,,biofuel_elec_per_capita,,biofuel,elec,kilowatt-hours,biofuel
5690,Asia,2013,,4365286895.0,,biofuel_elec_per_capita,24.633,biofuel,elec,kilowatt-hours,biofuel
5691,Asia,2014,,4412496398.0,,biofuel_elec_per_capita,27.975,biofuel,elec,kilowatt-hours,biofuel
5692,Asia,2015,,4458250376.0,,biofuel_elec_per_capita,32.528,biofuel,elec,kilowatt-hours,biofuel
5693,Asia,2016,,4502955714.0,,biofuel_elec_per_capita,32.21,biofuel,elec,kilowatt-hours,biofuel
5694,Asia,2017,,4547095064.0,,biofuel_elec_per_capita,37.426,biofuel,elec,kilowatt-hours,biofuel
5695,Asia,2018,,4588802751.0,,biofuel_elec_per_capita,42.641,biofuel,elec,kilowatt-hours,biofuel
5696,Asia,2019,,4627738749.0,,biofuel_elec_per_capita,48.324,biofuel,elec,kilowatt-hours,biofuel
5697,Asia,2020,,4663086623.0,,biofuel_elec_per_capita,53.801,biofuel,elec,kilowatt-hours,biofuel
5698,Asia,2021,,4693332132.0,,biofuel_elec_per_capita,62.572,biofuel,elec,kilowatt-hours,biofuel
5699,Asia,2022,,4721383370.0,,biofuel_elec_per_capita,69.393,biofuel,elec,kilowatt-hours,biofuel
6362,Europe,2013,,741180502.0,,biofuel_elec_per_capita,214.469,biofuel,elec,kilowatt-hours,biofuel
6363,Europe,2014,,742190861.0,,biofuel_elec_per_capita,227.138,biofuel,elec,kilowatt-hours,biofuel
6364,Europe,2015,,743294457.0,,biofuel_elec_per_capita,242.528,biofuel,elec,kilowatt-hours,biofuel
6365,Europe,2016,,744516175.0,,biofuel_elec_per_capita,245.555,biofuel,elec,kilowatt-hours,biofuel
6366,Europe,2017,,745657647.0,,biofuel_elec_per_capita,251.55,biofuel,elec,kilowatt-hours,biofuel
6367,Europe,2018,,746577709.0,,biofuel_elec_per_capita,257.857,biofuel,elec,kilowatt-hours,biofuel
6368,Europe,2019,,747418251.0,,biofuel_elec_per_capita,266.986,biofuel,elec,kilowatt-hours,biofuel
6369,Europe,2020,,747462669.0,,biofuel_elec_per_capita,274.863,biofuel,elec,kilowatt-hours,biofuel
6370,Europe,2021,,746417727.0,,biofuel_elec_per_capita,288.23,biofuel,elec,kilowatt-hours,biofuel
6371,Europe,2022,,744806995.0,,biofuel_elec_per_capita,273.816,biofuel,elec,kilowatt-hours,biofuel
7361,North America,2013,,560056144.0,,biofuel_elec_per_capita,150.146,biofuel,elec,kilowatt-hours,biofuel
7362,North America,2014,,565486685.0,,biofuel_elec_per_capita,151.569,biofuel,elec,kilowatt-hours,biofuel
7363,North America,2015,,570726015.0,,biofuel_elec_per_capita,152.455,biofuel,elec,kilowatt-hours,biofuel
7364,North America,2016,,576008328.0,,biofuel_elec_per_capita,152.862,biofuel,elec,kilowatt-hours,biofuel
7365,North America,2017,,581258143.0,,biofuel_elec_per_capita,151.361,biofuel,elec,kilowatt-hours,biofuel
7366,North America,2018,,585864285.0,,biofuel_elec_per_capita,148.157,biofuel,elec,kilowatt-hours,biofuel
7367,North America,2019,,590497015.0,,biofuel_elec_per_capita,141.034,biofuel,elec,kilowatt-hours,biofuel
7368,North America,2020,,594263186.0,,biofuel_elec_per_capita,132.281,biofuel,elec,kilowatt-hours,biofuel
7369,North America,2021,,597123384.0,,biofuel_elec_per_capita,129.621,biofuel,elec,kilowatt-hours,biofuel
7370,North America,2022,,600323657.0,,biofuel_elec_per_capita,123.35,biofuel,elec,kilowatt-hours,biofuel
7490,Oceania,2013,,39057783.0,,biofuel_elec_per_capita,107.277,biofuel,elec,kilowatt-hours,biofuel
7491,Oceania,2014,,39729340.0,,biofuel_elec_per_capita,111.001,biofuel,elec,kilowatt-hours,biofuel
7492,Oceania,2015,,40403644.0,,biofuel_elec_per_capita,112.861,biofuel,elec,kilowatt-hours,biofuel
7493,Oceania,2016,,41101240.0,,biofuel_elec_per_capita,108.999,biofuel,elec,kilowatt-hours,biofuel
7494,Oceania,2017,,41817267.0,,biofuel_elec_per_capita,104.981,biofuel,elec,kilowatt-hours,biofuel
7495,Oceania,2018,,42540030.0,,biofuel_elec_per_capita,103.432,biofuel,elec,kilowatt-hours,biofuel
7496,Oceania,2019,,43278474.0,,biofuel_elec_per_capita,99.819,biofuel,elec,kilowatt-hours,biofuel
7497,Oceania,2020,,43933757.0,,biofuel_elec_per_capita,96.509,biofuel,elec,kilowatt-hours,biofuel
7498,Oceania,2021,,44492065.0,,biofuel_elec_per_capita,114.852,biofuel,elec,kilowatt-hours,biofuel
7499,Oceania,2022,,45038860.0,,biofuel_elec_per_capita,108.129,biofuel,elec,kilowatt-hours,biofuel
7862,South America,2013,,405147963.0,,biofuel_elec_per_capita,114.279,biofuel,elec,kilowatt-hours,biofuel
7863,South America,2014,,409128901.0,,biofuel_elec_per_capita,130.717,biofuel,elec,kilowatt-hours,biofuel
7864,South America,2015,,413134461.0,,biofuel_elec_per_capita,136.88,biofuel,elec,kilowatt-hours,biofuel
7865,South America,2016,,417101806.0,,biofuel_elec_per_capita,138.719,biofuel,elec,kilowatt-hours,biofuel
7866,South America,2017,,420982650.0,,biofuel_elec_per_capita,141.55,biofuel,elec,kilowatt-hours,biofuel
